Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
M,22,1.78,,ITA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,22,,,CAN,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,28,,,BEL,2020,Summer,Tokyo,,Taekwondo Men's Flyweight
M,38,,,IND,2020,Summer,Tokyo,,Table Tennis Men's Team
M,22,1.83,,GER,2020,Summer,Tokyo,,Football Men's Football
M,40,1.75,,CYP,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,21,2.03,,NGR,2020,Summer,Tokyo,,Basketball Men's Basketball
F,28,1.91,,CAN,2020,Summer,Tokyo,,Basketball Women's Basketball
M,36,,,TUN,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,21,,,SRB,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,30,,,RSA,2020,Summer,Tokyo,,Triathlon Women's Olympic Distance
F,27,,,MEX,2020,Summer,Tokyo,,Taekwondo Women's Flyweight
M,32,,,CHI,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
F,20,,,COL,2020,Summer,Tokyo,,Archery Women's Individual
M,24,,,ESA,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,23,1.61,,CHI,2020,Summer,Tokyo,,Football Women's Football
M,30,,,JPN,2020,Summer,Tokyo,,Men's Canoe Slalom
M,25,1.72,,JPN,2020,Summer,Tokyo,,Water Polo Men's Water Polo
F,39,,,EGY,2020,Summer,Tokyo,,Archery Women's Individual
M,24,2.03,,ROU,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
F,21,,,POL,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,22,,,POL,2020,Summer,Tokyo,,Taekwondo Women's Flyweight
M,34,,,AUS,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,28,1.85,,AUS,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
F,18,,,FSM,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
F,36,,,NZL,2020,Summer,Tokyo,Bronze,Athletics Women's 100 metres
M,20,1.83,,POL,2020,Summer,Tokyo,,Weightlifting Men's Lightweight
F,29,,,TUR,2020,Summer,Tokyo,Bronze,"Wrestling Women's Light-Heavyweight, Freestyle"
