Sex,Age,Height,Weight,NOC,Year,Season,City,Medal,Event
F,25,,,TUR,2020,Summer,Tokyo,,"Wrestling Women's Light-Heavyweight, Freestyle"
M,31,,,BRA,2020,Summer,Tokyo,,Tennis Men's Doubles
M,22,,,ETH,2020,Summer,Tokyo,,Taekwondo Men's Flyweight
M,30,,,BEL,2020,Summer,Tokyo,Gold,Hockey Men's Hockey
M,28,,,USA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,23,1.78,,AUS,2020,Summer,Tokyo,,Football Men's Football
F,24,,,CHN,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,21,,,TPE,2020,Summer,Tokyo,Silver,Archery Men's Individual
F,23,1.77,,CHN,2020,Summer,Tokyo,,Water Polo Women's Water Polo
M,32,,,CHN,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,31,,,INA,2020,Summer,Tokyo,,Weightlifting Men's Lightweight
F,29,,,KAZ,2020,Summer,Tokyo,,Taekwondo Women's Flyweight
M,33,,,AUS,2020,Summer,Tokyo,,Water Polo Men's Water Polo
M,30,1.82,,AUS,2020,Summer,Tokyo,Bronze,Men's Cycling Road
M,24,,,AUS,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,24,,,CAN,2020,Summer,Tokyo,,Sailing Men's Two Person Dinghy
M,28,1.83,,EOR,2020,Summer,Tokyo,,Men's Karate
F,23,,,ETH,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,22,1.64,,CRO,2020,Summer,Tokyo,,Women's Artistic Gymnastics
F,24,,,TUR,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,22,1.9,,FIJ,2020,Summer,Tokyo,Gold,Rugby Sevens Men's Rugby Sevens
F,30,,,ROC,2020,Summer,Tokyo,Silver,"Fencing Women's epee, Individual"
F,30,,,ROC,2020,Summer,Tokyo,Gold,"Fencing Women's epee, Individual"
F,27,,,ITA,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,20,1.8,,MKD,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,31,,,CUB,2020,Summer,Tokyo,,Modern Pentathlon Men's Individual
M,25,,,USA,2020,Summer,Tokyo,,"Fencing Men's Foil, Individual"
M,26,1.95,,GRE,2020,Summer,Tokyo,Silver,Water Polo Men's Water Polo
F,20,1.68,,BEL,2020,Summer,Tokyo,Gold,Women's Artistic Gymnastics
M,26,,,ITA,2020,Summer,Tokyo,Gold,Athletics Men's Shot Put
M,28,1.82,,FRA,2020,Summer,Tokyo,Gold,Handball Men's Handball
M,27,1.87,,CZE,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,30,,,ETH,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,55,,,CAN,2020,Summer,Tokyo,,Men's Equestrian
M,26,,,SUI,2020,Summer,Tokyo,Bronze,Swimming Men's 400 metres Freestyle
F,26,1.83,,MNE,2020,Summer,Tokyo,,Handball Women's Handball
F,20,,,ETH,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,23,,,ARG,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
F,23,,,IND,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,27,,,BEL,2020,Summer,Tokyo,,Golf Men's Individual
M,26,,,ITA,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,29,1.7,,NED,2020,Summer,Tokyo,,Men's Artistic Gymnastics
M,39,,,GER,2020,Summer,Tokyo,,Men's Equestrian
F,25,,,LCA,2020,Summer,Tokyo,,Sailing Women's Windsurfer
F,19,1.62,,IND,2020,Summer,Tokyo,,Hockey Women's Hockey
M,22,1.7,,AUS,2020,Summer,Tokyo,,Football Men's Football
M,34,,,BEL,2020,Summer,Tokyo,Bronze,Men's Equestrian
M,35,,,VEN,2020,Summer,Tokyo,Silver,Men's Cycling BMX Freestyle
M,25,,,CAN,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
F,30,,,BEL,2020,Summer,Tokyo,,Women's Cycling Track
F,25,1.77,,ITA,2020,Summer,Tokyo,,Women's Artistic Swimming
M,22,,,ITA,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,28,1.84,,ITA,2020,Summer,Tokyo,Bronze,Rowing Men's Lightweight Double Sculls
M,27,1.9,,ITA,2020,Summer,Tokyo,,Water Polo Men's Water Polo
F,22,,,ITA,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,27,,,ITA,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,19,2.1,,ITA,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
F,25,,,CUB,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,18,1.73,,CIV,2020,Summer,Tokyo,,Football Men's Football
M,23,1.78,,CIV,2020,Summer,Tokyo,,Football Men's Football
M,24,,,BUR,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
F,25,,,FRA,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,20,1.6,,ESP,2020,Summer,Tokyo,,Men's Artistic Gymnastics
F,24,,,ESP,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,29,,,GBR,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,32,,,SEN,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,28,,,SEN,2020,Summer,Tokyo,,Table Tennis Men's Team
F,20,,,PUR,2020,Summer,Tokyo,,Table Tennis Women's Singles
M,25,,,CUB,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,40,,,VEN,2020,Summer,Tokyo,,Men's Karate
F,29,1.5,,PHI,2020,Summer,Tokyo,Gold,Weightlifting Women's Super-Heavyweight
M,36,1.93,,DOM,2020,Summer,Tokyo,Bronze,Men's Baseball/Softball
F,24,,,PUR,2020,Summer,Tokyo,,Table Tennis Women's Singles
F,29,1.8,,ESP,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
F,19,1.57,,CHI,2020,Summer,Tokyo,,Football Women's Football
F,27,,,ETH,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,54,,,GER,2020,Summer,Tokyo,,Men's Equestrian
F,25,,,NZL,2020,Summer,Tokyo,,Hockey Women's Hockey
F,21,,,FRA,2020,Summer,Tokyo,Bronze,Judo Women's Half-Middleweight
F,21,,,FRA,2020,Summer,Tokyo,Gold,Judo Women's Half-Middleweight
M,36,1.96,,USA,2020,Summer,Tokyo,Silver,Men's Baseball/Softball
M,22,,,IRL,2020,Summer,Tokyo,,Sailing Men's Two Person Dinghy
F,21,,,PHI,2020,Summer,Tokyo,,Women's Skateboarding
F,24,1.74,,DEN,2020,Summer,Tokyo,Silver,Women's Cycling Track
M,27,1.86,,BRA,2020,Summer,Tokyo,Gold,Football Men's Football
F,23,1.75,,AUS,2020,Summer,Tokyo,,Women's Cycling BMX Freestyle
F,26,1.75,,NAM,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,27,,,GER,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,51,1.68,,SUI,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
F,24,1.76,,SUI,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,32,1.72,,GER,2020,Summer,Tokyo,,Women's Canoe Sprint
F,30,1.75,,USA,2020,Summer,Tokyo,Gold,Basketball Women's Basketball
M,47,,,TUR,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
M,33,,,RSA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,27,2.11,,SLO,2020,Summer,Tokyo,,Basketball Men's Basketball
F,28,,,EOR,2020,Summer,Tokyo,,Taekwondo Women's Flyweight
F,27,,,USA,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,30,1.8,,CHN,2020,Summer,Tokyo,,Volleyball Women's Volleyball
F,31,1.78,,CHN,2020,Summer,Tokyo,,Football Women's Football
M,26,,,PLW,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,28,,,IRL,2020,Summer,Tokyo,,Diving Men's Platform
M,25,1.7,,VIE,2020,Summer,Tokyo,,Men's Artistic Gymnastics
F,23,,,VIE,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
F,50,,,POR,2020,Summer,Tokyo,,Women's Equestrian
M,42,,,FRA,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,32,,,SEN,2020,Summer,Tokyo,,"Fencing Women's epee, Individual"
F,30,1.69,,MEX,2020,Summer,Tokyo,,Women's Artistic Swimming
F,28,,,BIZ,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,25,1.78,,CAN,2020,Summer,Tokyo,,Men's Cycling Mountain Bike
F,28,1.8,,POL,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
F,20,1.64,,GRE,2020,Summer,Tokyo,,Sailing Women's Windsurfer
F,43,,,AUS,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,34,1.68,,GBR,2020,Summer,Tokyo,,Hockey Men's Hockey
F,27,,,KAZ,2020,Summer,Tokyo,,"Tennis Women's Singles, Covered Courts"
F,20,,,BRA,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,18,,,SUI,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,23,,,BIH,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,33,,,SRB,2020,Summer,Tokyo,,Tennis Men's Doubles
M,29,,,FRA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,21,,,UZB,2020,Summer,Tokyo,Gold,Weightlifting Men's Lightweight
M,25,,,RSA,2020,Summer,Tokyo,,Men's Cycling Road
M,23,,,SWZ,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,27,,,SWZ,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,23,,,RSA,2020,Summer,Tokyo,,Hockey Men's Hockey
M,34,1.77,,ROC,2020,Summer,Tokyo,,Men's Cycling Track
F,25,1.78,,ROC,2020,Summer,Tokyo,Silver,Handball Women's Handball
F,39,1.77,,BRA,2020,Summer,Tokyo,,Handball Women's Handball
M,22,,,BRA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,26,,,BRA,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,19,,,VIE,2020,Summer,Tokyo,,Archery Women's Individual
M,22,1.72,,JPN,2020,Summer,Tokyo,,Football Men's Football
F,19,,,NZL,2020,Summer,Tokyo,,Hockey Women's Hockey
M,23,,,NED,2020,Summer,Tokyo,Silver,Athletics Men's Shot Put
F,26,,,GBR,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,26,,,POL,2020,Summer,Tokyo,Bronze,Athletics Men's Shot Put
M,22,1.85,,ROU,2020,Summer,Tokyo,,Football Men's Football
F,34,1.68,,GBR,2020,Summer,Tokyo,,Sailing Women's Windsurfer
M,31,,,BEL,2020,Summer,Tokyo,Gold,Hockey Men's Hockey
F,32,,,ROU,2020,Summer,Tokyo,,Table Tennis Women's Singles
M,35,1.83,,CRO,2020,Summer,Tokyo,Silver,Tennis Men's Doubles
M,25,1.78,,GER,2020,Summer,Tokyo,,Men's Cycling Track
M,28,,,GER,2020,Summer,Tokyo,,Modern Pentathlon Men's Individual
M,30,,,GER,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,32,,,BEL,2020,Summer,Tokyo,Gold,Hockey Men's Hockey
F,27,1.67,,JPN,2020,Summer,Tokyo,,Sailing Women's Windsurfer
F,29,1.59,,JPN,2020,Summer,Tokyo,,"Tennis Women's Singles, Covered Courts"
M,31,,,JPN,2020,Summer,Tokyo,,Handball Men's Handball
F,29,,,PER,2020,Summer,Tokyo,,"Fencing Women's epee, Individual"
M,25,1.95,,ITA,2020,Summer,Tokyo,,Water Polo Men's Water Polo
M,23,1.7,,ISR,2020,Summer,Tokyo,Gold,Men's Artistic Gymnastics
F,20,1.68,,ROC,2020,Summer,Tokyo,,Women's Canoe Sprint
F,25,,,ROC,2020,Summer,Tokyo,,Judo Women's Half-Middleweight
M,22,,,JAM,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,28,1.95,,USA,2020,Summer,Tokyo,Gold,Women's 3x3 Basketball
F,34,1.73,,ANG,2020,Summer,Tokyo,,Handball Women's Handball
F,29,1.76,,DOM,2020,Summer,Tokyo,,Volleyball Women's Volleyball
M,24,,,DOM,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,33,1.65,,ESP,2020,Summer,Tokyo,,Basketball Women's Basketball
M,35,1.91,,SRB,2020,Summer,Tokyo,Bronze,Men's 3x3 Basketball
M,21,2.01,,SLO,2020,Summer,Tokyo,,Basketball Men's Basketball
M,32,,,CHN,2020,Summer,Tokyo,,"Fencing Men's Foil, Individual"
M,31,1.7,,CHN,2020,Summer,Tokyo,Silver,Men's Trampoline Gymnastics
M,33,,,CHN,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,22,,,CHN,2020,Summer,Tokyo,Gold,Swimming Women's 100 metres Backstroke
F,30,,,POR,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,25,,,NZL,2020,Summer,Tokyo,Silver,Rowing Women's Coxless Pairs
F,24,1.78,,FIJ,2020,Summer,Tokyo,Bronze,Rugby Sevens Women's Rugby Sevens
F,24,,,HKG,2020,Summer,Tokyo,Bronze,Table Tennis Women's Singles
M,23,,,BEL,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,26,1.83,,USA,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,51,,,ARG,2020,Summer,Tokyo,,Men's Equestrian
F,21,,,AND,2020,Summer,Tokyo,,Women's Canoe Slalom
F,29,,,MGL,2020,Summer,Tokyo,,Judo Women's Half-Middleweight
M,20,,,BRA,2020,Summer,Tokyo,Bronze,Athletics Men's Shot Put
M,27,,,BRA,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,26,,,BRA,2020,Summer,Tokyo,,Archery Women's Individual
M,26,,,BRA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,26,,,POR,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,24,1.6,,BRA,2020,Summer,Tokyo,,Rugby Sevens Women's Rugby Sevens
F,26,,,JPN,2020,Summer,Tokyo,,"Wrestling Women's Light-Heavyweight, Freestyle"
F,21,,,ITA,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,34,,,BEN,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
M,27,2.02,,CZE,2020,Summer,Tokyo,Bronze,Men's Canoe Sprint
F,21,,,LBN,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,26,1.89,,CAN,2020,Summer,Tokyo,,Rugby Sevens Men's Rugby Sevens
F,31,1.81,,GBR,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,22,1.78,,BRA,2020,Summer,Tokyo,Gold,Football Men's Football
F,26,,,CAN,2020,Summer,Tokyo,,Sailing Women's Windsurfer
F,19,,,USA,2020,Summer,Tokyo,Bronze,Swimming Women's 100 metres Backstroke
M,29,,,SUI,2020,Summer,Tokyo,,Men's Canoe Slalom
M,17,1.82,,FRA,2020,Summer,Tokyo,,Football Men's Football
M,21,1.69,,CIV,2020,Summer,Tokyo,,Football Men's Football
M,22,1.87,,CIV,2020,Summer,Tokyo,,Football Men's Football
M,33,,,GRE,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,25,,,ROC,2020,Summer,Tokyo,Silver,Swimming Men's 400 metres Freestyle
M,20,1.8,,USA,2020,Summer,Tokyo,,Men's Cycling BMX Freestyle
M,24,1.83,,IRL,2020,Summer,Tokyo,,Men's Cycling Track
M,21,,,NZL,2020,Summer,Tokyo,,Diving Men's Platform
M,17,1.78,,USA,2020,Summer,Tokyo,,Diving Men's Platform
F,27,1.82,,NZL,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
F,29,1.7,,USA,2020,Summer,Tokyo,,Rugby Sevens Women's Rugby Sevens
M,28,1.97,,IRL,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
F,32,,,POL,2020,Summer,Tokyo,,Boxing Women's Flyweight
M,31,1.96,,SLO,2020,Summer,Tokyo,,Basketball Men's Basketball
M,40,1.61,,ROU,2020,Summer,Tokyo,,Men's Artistic Gymnastics
F,28,,,GRE,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,22,1.77,,GBR,2020,Summer,Tokyo,,Hockey Men's Hockey
M,24,,,USA,2020,Summer,Tokyo,Gold,Swimming Men's 400 metres Freestyle
M,24,,,USA,2020,Summer,Tokyo,Gold,Swimming Men's 400 metres Freestyle
M,24,,,USA,2020,Summer,Tokyo,Gold,Swimming Men's 400 metres Freestyle
M,24,,,USA,2020,Summer,Tokyo,Gold,Swimming Men's 400 metres Freestyle
M,24,,,USA,2020,Summer,Tokyo,Gold,Swimming Men's 400 metres Freestyle
F,27,1.91,,USA,2020,Summer,Tokyo,Gold,Volleyball Women's Volleyball
M,30,,,GBR,2020,Summer,Tokyo,,Table Tennis Men's Team
F,27,1.68,,ROC,2020,Summer,Tokyo,,Women's Cycling Road
F,24,1.72,,FRA,2020,Summer,Tokyo,Silver,Rugby Sevens Women's Rugby Sevens
F,42,1.75,,BLR,2020,Summer,Tokyo,,Sailing Women's Windsurfer
M,15,,,MON,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,26,,,CRC,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,32,,,RSA,2020,Summer,Tokyo,,Hockey Men's Hockey
F,30,1.53,,ROU,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,25,1.92,,GER,2020,Summer,Tokyo,,Handball Men's Handball
M,22,,,ROC,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
M,32,1.91,,RSA,2020,Summer,Tokyo,,Rugby Sevens Men's Rugby Sevens
F,25,,,JAM,2020,Summer,Tokyo,,Judo Women's Half-Middleweight
M,30,1.96,,POL,2020,Summer,Tokyo,,Volleyball Men's Volleyball
F,28,,,RSA,2020,Summer,Tokyo,,Hockey Women's Hockey
M,30,1.67,,RSA,2020,Summer,Tokyo,,Rugby Sevens Men's Rugby Sevens
F,33,,,RSA,2020,Summer,Tokyo,,Women's Cycling Track
M,17,,,RSA,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,23,1.67,,AUS,2020,Summer,Tokyo,,Rugby Sevens Women's Rugby Sevens
F,22,,,CHN,2020,Summer,Tokyo,,Badminton Women's Singles
F,31,,,CHN,2020,Summer,Tokyo,,"Tennis Women's Singles, Covered Courts"
M,24,1.82,,MEX,2020,Summer,Tokyo,,Men's Baseball/Softball
M,30,1.96,,POR,2020,Summer,Tokyo,,Handball Men's Handball
M,25,1.91,,ROC,2020,Summer,Tokyo,,Men's Cycling Track
F,30,,,BLR,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,25,,,AUS,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,28,1.75,,FRA,2020,Summer,Tokyo,,Sailing Women's Windsurfer
F,19,,,GBR,2020,Summer,Tokyo,,Boxing Women's Flyweight
F,22,,,KAZ,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,26,,,USA,2020,Summer,Tokyo,,"Fencing Women's epee, Individual"
F,24,1.62,,SUI,2020,Summer,Tokyo,Bronze,Women's Cycling BMX Freestyle
M,31,1.76,,ROU,2020,Summer,Tokyo,,Triathlon Men's Olympic Distance
F,23,1.68,,FRA,2020,Summer,Tokyo,Bronze,Basketball Women's Basketball
M,28,,,AUS,2020,Summer,Tokyo,,Tennis Men's Doubles
F,25,1.75,,BRA,2020,Summer,Tokyo,,Football Women's Football
F,17,1.72,,UKR,2020,Summer,Tokyo,,Rhythmic Gymnastics Women's Group
M,24,,,BLR,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,28,1.67,,CAN,2020,Summer,Tokyo,,Women's Cycling Track
M,34,,,CAN,2020,Summer,Tokyo,,Archery Men's Individual
F,21,1.83,,NOR,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
F,27,1.8,,NED,2020,Summer,Tokyo,Bronze,Sailing Women's Windsurfer
M,17,1.68,,USA,2020,Summer,Tokyo,,Men's Sport Climbing
F,33,,,BER,2020,Summer,Tokyo,Gold,Triathlon Women's Olympic Distance
F,28,,,DEN,2020,Summer,Tokyo,,Women's Equestrian
F,19,1.93,,SRB,2020,Summer,Tokyo,,Basketball Women's Basketball
F,20,,,FRA,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
F,23,1.78,,NED,2020,Summer,Tokyo,,Handball Women's Handball
F,35,,,GBR,2020,Summer,Tokyo,Bronze,Women's Equestrian
F,35,,,GBR,2020,Summer,Tokyo,Bronze,Women's Equestrian
M,28,1.88,,ESP,2020,Summer,Tokyo,Bronze,Handball Men's Handball
F,30,1.82,,IRL,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
F,28,1.77,,IRL,2020,Summer,Tokyo,,Hockey Women's Hockey
M,29,1.82,,AUS,2020,Summer,Tokyo,,Football Men's Football
M,27,,,MNE,2020,Summer,Tokyo,,Sailing Men's Two Person Dinghy
M,21,1.84,,ROU,2020,Summer,Tokyo,,Football Men's Football
F,15,,,MDA,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
F,26,1.85,,NED,2020,Summer,Tokyo,,Handball Women's Handball
F,17,,,SLE,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,30,,,NED,2020,Summer,Tokyo,Silver,Men's Cycling Road
M,24,1.71,,IRL,2020,Summer,Tokyo,,Men's Cycling Road
M,30,,,CAN,2020,Summer,Tokyo,Bronze,Athletics Men's Shot Put
M,23,1.73,,GER,2020,Summer,Tokyo,,Men's Artistic Gymnastics
F,28,1.57,,USA,2020,Summer,Tokyo,Bronze,Football Women's Football
M,21,,,SWE,2020,Summer,Tokyo,Gold,Athletics Men's Shot Put
F,24,,,POR,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
F,24,,,USA,2020,Summer,Tokyo,,Women's Skateboarding
F,32,,,ECU,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,32,2.05,,USA,2020,Summer,Tokyo,Gold,Basketball Men's Basketball
F,20,1.72,,ITA,2020,Summer,Tokyo,Bronze,Rhythmic Gymnastics Women's Group
M,29,1.87,,AUS,2020,Summer,Tokyo,,Men's Cycling Road
F,29,,,CZE,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,21,1.78,,POL,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,20,,,GBR,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,25,1.92,,POL,2020,Summer,Tokyo,Gold,Athletics Men's Shot Put
M,30,,,BRA,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,24,1.84,,BRA,2020,Summer,Tokyo,,Handball Men's Handball
M,57,,,USA,2020,Summer,Tokyo,,Men's Equestrian
F,21,,,CUB,2020,Summer,Tokyo,,Weightlifting Women's Super-Heavyweight
F,32,1.68,,ESP,2020,Summer,Tokyo,,Table Tennis Women's Singles
F,29,1.69,,SLO,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
M,16,,,INA,2020,Summer,Tokyo,,Archery Men's Individual
M,22,,,AZE,2020,Summer,Tokyo,,Badminton Men's Singles
M,31,,,JAM,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,26,1.67,,BUL,2020,Summer,Tokyo,Gold,Rhythmic Gymnastics Women's Group
F,23,,,USA,2020,Summer,Tokyo,Bronze,Women's Cycling Road
F,23,,,USA,2020,Summer,Tokyo,Bronze,Women's Cycling Track
F,25,,,NZL,2020,Summer,Tokyo,Silver,Rowing Women's Coxless Pairs
M,24,,,KGZ,2020,Summer,Tokyo,,"Wrestling Men's Light-Heavyweight, Greco-Roman"
M,34,,,LTU,2020,Summer,Tokyo,,Rowing Men's Lightweight Double Sculls
F,26,,,BLR,2020,Summer,Tokyo,,Archery Women's Individual
M,30,,,BLR,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,22,,,JOR,2020,Summer,Tokyo,,Boxing Men's Light-Welterweight
M,19,,,USA,2020,Summer,Tokyo,Bronze,Men's Skateboarding
M,27,1.96,,IRI,2020,Summer,Tokyo,,Volleyball Men's Volleyball
M,25,,,KEN,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,21,,,ARG,2020,Summer,Tokyo,,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
F,21,,,GER,2020,Summer,Tokyo,,"Fencing Women's epee, Individual"
F,30,1.78,,AUS,2020,Summer,Tokyo,,Basketball Women's Basketball
F,36,1.73,,ESP,2020,Summer,Tokyo,,Sailing Women's Windsurfer
M,30,1.95,,ITA,2020,Summer,Tokyo,,Water Polo Men's Water Polo
F,24,1.82,,CUB,2020,Summer,Tokyo,,Beach Volleyball Women's Beach Volleyball
M,22,,,CUB,2020,Summer,Tokyo,Silver,Athletics Men's Shot Put
F,28,,,GER,2020,Summer,Tokyo,,Athletics Women's 100 metres
M,27,1.68,,ITA,2020,Summer,Tokyo,,Men's Artistic Gymnastics
F,34,,,NGR,2020,Summer,Tokyo,,Table Tennis Women's Singles
F,23,,,GUY,2020,Summer,Tokyo,,Table Tennis Women's Singles
F,29,1.71,,AUS,2020,Summer,Tokyo,,Women's Cycling Track
F,24,,,NZL,2020,Summer,Tokyo,,Women's Cycling Track
M,20,,,GER,2020,Summer,Tokyo,,Men's Skateboarding
M,31,,,PAN,2020,Summer,Tokyo,,Athletics Men's Shot Put
F,18,1.91,,CAN,2020,Summer,Tokyo,,Basketball Women's Basketball
M,28,,,AUS,2020,Summer,Tokyo,,Water Polo Men's Water Polo
M,32,2.06,,JPN,2020,Summer,Tokyo,,Basketball Men's Basketball
M,22,,,AUS,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,22,1.84,,AUS,2020,Summer,Tokyo,,Men's Marathon Swimming
M,25,,,AUS,2020,Summer,Tokyo,,Water Polo Men's Water Polo
F,27,1.78,,GBR,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,34,,,NZL,2020,Summer,Tokyo,,Hockey Men's Hockey
F,32,1.82,,FRA,2020,Summer,Tokyo,Gold,Handball Women's Handball
F,26,,,NED,2020,Summer,Tokyo,,Table Tennis Women's Singles
F,28,,,ROC,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,21,,,GBR,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,24,,,ERI,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,32,,,BUL,2020,Summer,Tokyo,,Athletics Women's 100 metres
F,30,1.88,,CAN,2020,Summer,Tokyo,,Water Polo Women's Water Polo
F,34,1.6,,SRI,2020,Summer,Tokyo,,"Shooting Women's Air Rifle, 10 metres"
F,22,1.93,,ITA,2020,Summer,Tokyo,,Volleyball Women's Volleyball
M,19,,,ROC,2020,Summer,Tokyo,,Swimming Men's 400 metres Freestyle
F,22,,,ROC,2020,Summer,Tokyo,,Swimming Women's 100 metres Backstroke
M,24,1.74,,POR,2020,Summer,Tokyo,,Judo Men's Extra-Lightweight
F,21,1.68,,GER,2020,Summer,Tokyo,,Women's Cycling Mountain Bike
M,29,1.77,,BRN,2020,Summer,Tokyo,,Handball Men's Handball
M,30,,,ROC,2020,Summer,Tokyo,,Men's Canoe Slalom
M,15,1.6,,GER,2020,Summer,Tokyo,,Diving Men's Platform
M,27,,,EOR,2020,Summer,Tokyo,,Athletics Men's Shot Put
M,22,,,EGY,2020,Summer,Tokyo,Bronze,Taekwondo Men's Flyweight
F,31,1.85,,USA,2020,Summer,Tokyo,,Rowing Women's Coxless Pairs
M,21,,,JPN,2020,Summer,Tokyo,,Athletics Men's Shot Put
